Sr. No.,Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type
92,03:20:07,25-06-2022,67717021171,55409871384,154439.77,Albanian lek,Pakistani rupee,India,Albania,ACH
93,03:03:35,29-08-2022,19273042613,16929236250,267936.64,Albanian lek,Turkish lira,USA,Nigeria,Cross-border
94,08:32:07,19-01-2022,42127461627,57449157126,208640.76,Euro,Indian rupee,Turkey,Mexico,Cross-border
95,20:35:17,21-08-2022,54320565621,48145089561,350830.94,Yen,Dirham,Austria,Pakistan,ACH
96,08:46:47,07-11-2022,55926659454,32726104764,247978.08,Naira,UK pounds,UK,Italy,ACH
97,20:47:25,02-08-2022,6362389479,34746499557,207483.6,Dirham,Moroccan dirham,UAE,Italy,ACH
98,02:30:27,21-06-2022,42357924356,86377337159,386081.42,UK pounds,US dollar,France,Morocco,Cross-border
99,19:23:46,14-12-2022,5218623263,72391018621,352076.9,UK pounds,UK pounds,Nigeria,India,Credit card
100,06:45:00,31-10-2022,36181345606,28339326130,43009.1,Moroccan dirham,Pakistani rupee,Turkey,Albania,Debit card
101,02:55:43,22-07-2022,89022001935,20617628268,411534.37,Dirham,Yen,Japan,Turkey,Credit card
102,17:27:41,06-08-2022,82001992232,86776594800,427049.52,Mexican Peso,Turkish lira,Switzerland,Netherlands,ACH
103,03:59:31,13-04-2022,56495242556,68654841615,182510.89,Euro,Moroccan dirham,Japan,Italy,ACH
104,19:14:59,22-09-2022,89291570120,48760752806,44190.71,Pakistani rupee,Turkish lira,Switzerland,Austria,ACH
105,04:15:46,03-10-2022,59553155121,63101818148,235158.13,Yen,Indian rupee,France,Nigeria,ACH
106,12:09:12,07-03-2022,74346640316,28881036856,134603.28,Naira,Albanian lek,Italy,UK,Credit card
107,08:20:59,08-02-2022,4374300634,54005422447,344358.85,Indian rupee,US dollar,UAE,Netherlands,Cheque
108,13:31:46,09-04-2022,44331743242,91447743493,389805.15,Swiss franc,UK pounds,Albania,Japan,Credit card
109,02:30:38,09-09-2022,92230627834,30927603983,431861.28,Moroccan dirham,Yen,Austria,UK,ACH
110,22:28:25,04-09-2022,29659577089,15077422604,334918.29,Indian rupee,Naira,Japan,Switzerland,Cross-border
111,08:51:03,31-08-2022,4683026293,57898318081,220940.99,Moroccan dirham,Dirham,Italy,Spain,Credit card
112,23:47:36,29-11-2022,31345101535,17539979687,2526.24,Dirham,Pakistani rupee,Germany,Netherlands,Cross-border
113,03:55:29,08-06-2022,23245163009,25311584896,31991.26,Euro,Euro,Pakistan,Nigeria,ACH
114,19:40:43,12-04-2022,66241827908,73852170177,484123.66,UK pounds,Yen,UK,Japan,Cross-border
115,22:40:48,09-01-2022,3431419653,55884192141,80722.49,Dirham,Mexican Peso,France,Turkey,Debit card
116,14:47:40,20-05-2022,65002448916,36284217976,13309.03,Indian rupee,Turkish lira,Albania,UAE,ACH
117,22:42:10,19-02-2022,59624055483,41872115456,438785.91,UK pounds,Mexican Peso,France,UK,Cross-border
118,08:35:55,17-12-2022,62157241984,85671032468,193445.51,Dirham,UK pounds,Mexico,Spain,Credit card
119,19:34:28,30-01-2022,82588149993,38101842898,159011.6,Turkish lira,Naira,Switzerland,Turkey,Credit card
120,03:41:28,11-05-2022,30021940342,15164824631,340807.23,Turkish lira,Mexican Peso,Switzerland,Morocco,Credit card
121,23:53:05,20-05-2022,13049570767,44700450671,436263.43,Swiss franc,Indian rupee,Austria,Italy,Cash Deposit
122,01:54:23,31-07-2022,11276544212,81437675725,54970.64,Dirham,Euro,Turkey,Turkey,Cash Deposit
123,18:38:47,02-06-2022,76821277633,54159688287,52386.84,Moroccan dirham,Swiss franc,Turkey,Morocco,Cross-border
124,20:22:14,05-02-2022,60041109383,3947011235,134665.17,UK pounds,Moroccan dirham,Nigeria,Mexico,Credit card
125,01:39:49,07-10-2022,98503954263,60634790144,306825.29,Swiss franc,Albanian lek,UAE,UAE,Cross-border
126,02:31:35,05-05-2022,5721284971,12459501563,395477.32,Indian rupee,Indian rupee,Netherlands,Italy,Cross-border
127,21:20:01,11-02-2022,43705132629,5115478538,37580.36,US dollar,Dirham,Turkey,Japan,Cross-border
128,16:22:45,19-02-2022,46961269382,18818720272,453094.03,Indian rupee,Moroccan dirham,Spain,Mexico,ACH
129,07:11:50,02-05-2022,16671531809,40970755897,95399.02,Dirham,Turkish lira,India,USA,Debit card
130,21:42:36,19-03-2022,66881205809,14477671957,324005.45,UK pounds,US dollar,Albania,USA,Credit card
131,13:24:30,08-03-2022,18600516414,76495097270,211211.31,US dollar,US dollar,Mexico,Albania,Cross-border
132,19:42:33,24-08-2022,33102703533,89740564484,302352.41,Albanian lek,US dollar,Germany,India,Cheque
133,18:14:24,17-09-2022,61606046791,65094527247,179938.62,Dirham,Indian rupee,Spain,Germany,ACH
134,22:33:41,19-07-2022,60338650006,22331543948,377473.54,US dollar,Indian rupee,USA,Albania,Credit card
135,02:24:30,12-11-2022,213233551,90503348867,120215.98,Mexican Peso,Pakistani rupee,France,India,Credit card
136,00:45:46,22-07-2022,41063551112,78084691441,174733.58,Euro,Euro,Nigeria,Netherlands,Cross-border
137,03:11:10,03-04-2022,51370913095,95736245015,166123.24,US dollar,Yen,France,Morocco,Cash Deposit
138,15:14:23,06-08-2022,8175673487,56590597756,283855.87,Albanian lek,Moroccan dirham,Turkey,Pakistan,Cheque
139,04:11:42,09-11-2022,37254011490,99586619018,229278.61,Pakistani rupee,UK pounds,Nigeria,Albania,Cross-border
140,16:18:40,27-01-2022,35975049800,11904248469,373371.57,Yen,Swiss franc,UAE,UAE,ACH
141,04:57:00,29-03-2022,84513087279,91265887816,423248.04,Turkish lira,Pakistani rupee,India,Albania,Cross-border
142,06:12:55,19-08-2022,62182670704,92866537836,284932.09,Indian rupee,US dollar,Turkey,Morocco,Cash Withdrawal
143,08:53:22,24-11-2022,9487755890,85548091518,451283.87,Indian rupee,Yen,Japan,Switzerland,ACH
144,19:28:38,02-02-2022,69596109542,44180617145,465216.08,Swiss franc,Mexican Peso,France,USA,Debit card
145,06:57:44,19-07-2022,57559775107,44480365525,443374.37,Dirham,Mexican Peso,Germany,Germany,Cross-border
146,01:29:32,28-07-2022,1261149777,83938498958,251323.83,Moroccan dirham,Naira,Japan,UAE,ACH
147,17:06:02,21-12-2022,78507310124,84447224259,470160.23,Euro,Indian rupee,Albania,Pakistan,ACH
148,13:05:39,20-10-2022,65732581138,38114317685,159953.66,Pakistani rupee,UK pounds,Pakistan,Spain,ACH
149,12:37:27,02-03-2022,71555474988,52141770559,381054.92,Indian rupee,Indian rupee,Turkey,Switzerland,Cross-border
150,12:34:23,14-12-2022,55992943196,81846855457,328768.61,Euro,Swiss franc,Netherlands,Switzerland,Cash Deposit
151,17:38:47,22-04-2022,84081400928,463479511,266543.93,Albanian lek,Euro,UK,Italy,Cross-border
152,12:34:49,16-10-2022,6764592198,60130202213,375140.22,Yen,US dollar,Netherlands,Nigeria,Cash Deposit
153,21:04:44,12-12-2022,88416290904,77119927276,467814.01,Pakistani rupee,US dollar,Spain,Turkey,Cash Withdrawal
154,15:35:36,14-08-2022,10219876943,23710487802,285349.76,Albanian lek,Albanian lek,Pakistan,Mexico,Cash Withdrawal
155,17:01:04,07-07-2022,90593476329,28646069879,292471.19,Euro,Yen,India,Nigeria,Credit card
156,04:59:01,21-08-2022,4056407115,72521035683,435213.16,Indian rupee,Naira,Japan,UK,Debit card
157,15:46:39,20-10-2022,43191049980,13503694939,257209.27,Swiss franc,Albanian lek,Spain,USA,Cash Withdrawal
158,10:53:56,07-11-2022,48699231994,47648549998,389435.53,Turkish lira,Dirham,Morocco,Italy,ACH
159,00:47:46,20-03-2022,96263037152,41404374733,447463.32,Yen,Indian rupee,UK,Japan,Credit card
160,06:28:22,09-03-2022,13387575568,23975049853,397221.67,Swiss franc,Yen,Austria,Pakistan,Cheque
161,22:57:00,29-04-2022,25763241195,47879481787,51902.57,Pakistani rupee,UK pounds,Italy,Pakistan,Cash Deposit
162,17:04:23,09-02-2022,58726956152,50500379089,99360.18,Dirham,Turkish lira,France,Morocco,Credit card
163,06:10:08,04-04-2022,82818352799,78745123173,330299.66,Mexican Peso,UK pounds,Morocco,Albania,Cross-border
164,23:35:38,13-12-2022,57719717654,71190098147,111369.38,Naira,Pakistani rupee,Pakistan,Morocco,Credit card
165,06:44:39,11-05-2022,87014907592,70272800711,266587.1,Naira,Naira,Pakistan,Nigeria,Debit card
166,10:18:41,15-05-2022,95304840556,91897171338,322387.01,Swiss franc,US dollar,Turkey,Turkey,Cash Withdrawal
167,14:20:49,07-11-2022,75400415988,52914793727,47686.79,Pakistani rupee,Swiss franc,Japan,Nigeria,Cash Deposit
168,09:53:23,12-11-2022,89673147509,81516354967,375173.95,Pakistani rupee,Mexican Peso,UK,Albania,Cross-border
169,01:03:08,01-04-2022,65909925294,82910229159,43897.93,Pakistani rupee,Euro,India,Japan,Cross-border
170,01:19:34,24-05-2022,32333628355,92706972671,267508.75,Turkish lira,Euro,USA,UAE,Cross-border
171,15:08:09,27-09-2022,96379239661,55427444351,318839.7,Pakistani rupee,Naira,USA,Italy,Cash Withdrawal
172,20:25:35,23-06-2022,82110421832,59867476240,427217.53,Dirham,Pakistani rupee,Japan,Pakistan,Cross-border
173,00:17:11,18-10-2022,10372741381,3097717758,148495.24,Albanian lek,Turkish lira,USA,Mexico,Credit card
174,17:52:35,12-02-2022,7600266861,56168300049,492384.46,Moroccan dirham,Naira,USA,Netherlands,Debit card
175,01:52:26,02-12-2022,23748288735,47224350319,308299.48,Turkish lira,Euro,Albania,USA,ACH
176,02:28:15,16-12-2022,54903839285,45716569887,330552.73,Euro,Pakistani rupee,Spain,Turkey,Credit card
177,09:02:59,12-12-2022,97403496489,33983883099,244217.07,UK pounds,Euro,UK,Switzerland,ACH
178,14:17:39,04-08-2022,25032382296,72351650686,52944.58,Yen,Yen,Netherlands,Italy,ACH
179,05:57:12,14-06-2022,96046917059,95861842977,354952.93,Indian rupee,Albanian lek,Netherlands,Morocco,Debit card
180,18:58:28,26-03-2022,92409177116,9550796133,223978.58,Dirham,Yen,USA,Switzerland,ACH
181,00:38:20,19-06-2022,56215067351,97610354602,330088.27,Albanian lek,Pakistani rupee,Albania,UK,Credit card
182,16:46:33,26-05-2022,53279803009,16769385654,220433.05,Pakistani rupee,Indian rupee,Morocco,Pakistan,Credit card
183,10:07:16,17-11-2022,64101708019,74248089633,380862.04,Turkish lira,Turkish lira,Italy,Switzerland,Credit card
184,17:47:07,04-03-2022,42881299537,9762091395,142771.39,Moroccan dirham,Swiss franc,USA,Mexico,Credit card
185,21:48:55,16-12-2022,70411947645,13964907212,187552.69,Naira,UK pounds,France,India,Credit card
186,06:13:23,22-12-2022,53662367894,95854611955,93175.28,Dirham,Naira,Austria,Japan,Cross-border
187,19:08:47,06-06-2022,16883214201,83768987639,21518.13,Dirham,Euro,Germany,Germany,Cash Withdrawal
188,07:23:30,07-01-2022,85204003416,33480892916,498818.89,Naira,Pakistani rupee,Germany,Switzerland,Credit card
189,07:00:56,11-01-2022,41981517223,42876921681,343943.6,Albanian lek,UK pounds,India,UAE,ACH
190,07:31:17,13-04-2022,96829267613,61048645778,431455.04,UK pounds,Turkish lira,Albania,France,Credit card
191,14:43:02,15-08-2022,299165393,6594393111,42483.91,Swiss franc,Turkish lira,UAE,Germany,Cross-border
192,22:58:45,28-04-2022,48325032177,97883917282,358651.84,Indian rupee,Indian rupee,Switzerland,Mexico,ACH
193,08:09:33,15-02-2022,58414134149,68923995665,264624.38,Euro,UK pounds,Switzerland,Spain,Cash Deposit
194,06:59:23,08-06-2022,69709866167,91617610822,482089.66,Indian rupee,Mexican Peso,UK,UK,Credit card
195,07:32:57,21-01-2022,64708655194,24679242033,498583.39,Yen,Indian rupee,Turkey,Italy,Cross-border
196,07:07:12,20-05-2022,23349526251,54879518692,291967.91,Pakistani rupee,Yen,Germany,UAE,ACH
197,17:16:21,23-04-2022,31080970119,27592590743,174390.87,Euro,Naira,Nigeria,Spain,Debit card
198,00:59:41,14-07-2022,84100818038,67592064647,416624.62,Naira,Yen,UAE,Netherlands,Cross-border
199,15:30:47,14-06-2022,66825732139,78311931296,267849.32,Indian rupee,Swiss franc,Albania,Austria,Cross-border
200,06:48:22,25-05-2022,8658254198,94703277295,430279.45,UK pounds,Dirham,Japan,Pakistan,ACH
201,21:36:05,29-09-2022,39797963895,83332608497,116084.37,Indian rupee,Pakistani rupee,Spain,Netherlands,Cross-border
202,11:54:58,27-09-2022,27530493284,35228759830,257062.2,Mexican Peso,Euro,UK,Germany,ACH
203,04:46:36,17-03-2022,15885682424,46902731249,124051.87,Mexican Peso,Swiss franc,Turkey,Albania,Cross-border
204,11:32:22,17-06-2022,6576204125,94275149730,333389.76,Mexican Peso,Moroccan dirham,UAE,USA,Credit card
205,07:51:39,02-05-2022,62356752868,58844965437,105612.72,Moroccan dirham,Turkish lira,Albania,Morocco,Cash Deposit
206,14:36:23,06-08-2022,62998112963,34624260865,273439.12,Pakistani rupee,Mexican Peso,Japan,UAE,Cross-border
207,05:50:33,01-06-2022,8889107389,35529647401,379977.37,Swiss franc,Indian rupee,USA,Japan,Cross-border
208,02:53:59,07-01-2022,85198740642,85125333664,342294.6,Swiss franc,Indian rupee,UK,Turkey,Credit card
209,02:53:30,16-12-2022,16072995627,84115668052,240975.79,Indian rupee,Mexican Peso,Albania,Pakistan,Cross-border
210,12:40:34,13-06-2022,76087315978,4276447894,110889.72,Dirham,Pakistani rupee,Japan,Albania,Cross-border
211,00:09:38,26-09-2022,61696708938,49291853446,399332.88,Indian rupee,Indian rupee,Morocco,Italy,Cross-border
212,12:18:56,28-01-2022,87065472566,81146150480,268339.45,Mexican Peso,Moroccan dirham,Netherlands,Pakistan,Credit card
213,01:51:16,01-11-2022,1987166129,88933049222,3273.81,Turkish lira,Naira,USA,Netherlands,Cash Deposit
214,12:25:09,26-08-2022,63149433136,89265083378,97086.52,Yen,Yen,Germany,Spain,ACH
215,21:37:50,05-03-2022,20044372035,68476497220,198190.48,Euro,Mexican Peso,Pakistan,Mexico,Credit card
216,11:19:16,08-10-2022,94866340270,19120001832,212975.42,Albanian lek,Mexican Peso,UAE,Austria,ACH
217,16:33:32,03-03-2022,35116536732,54916327135,242916.62,US dollar,Yen,Albania,Germany,ACH
218,10:36:25,12-03-2022,10731195560,32805466166,65739.98,Naira,Pakistani rupee,Japan,Austria,ACH
219,18:53:38,04-04-2022,75339443791,43318594296,206725.61,Indian rupee,Mexican Peso,India,Pakistan,Credit card
220,13:04:21,23-08-2022,36152199519,64487616631,186350.34,Euro,Yen,France,Switzerland,Cash Deposit
221,16:20:48,11-02-2022,11606736738,4529258443,226064.07,Euro,Dirham,India,Pakistan,ACH
222,09:21:00,01-03-2022,40885366971,4262625651,195158.69,Pakistani rupee,Moroccan dirham,India,Italy,Cash Withdrawal
223,17:42:15,05-04-2022,33119763633,35295275523,159639.6,UK pounds,Mexican Peso,Albania,India,ACH
224,21:09:35,01-09-2022,68117420926,85616654117,280930.52,Indian rupee,Mexican Peso,India,UK,ACH
225,09:48:25,09-11-2022,16633126345,29775752670,60780.66,Turkish lira,Pakistani rupee,UAE,Albania,Cross-border
226,20:11:08,21-03-2022,43681249353,8731010140,372051.92,Pakistani rupee,Dirham,Morocco,UK,Cross-border
227,14:39:02,31-01-2022,94749895319,62386741617,299519.48,Indian rupee,US dollar,UAE,Italy,Cash Deposit
228,21:41:35,18-09-2022,13671926565,19255672575,229149.82,Albanian lek,Albanian lek,Spain,Nigeria,ACH
229,08:12:34,18-09-2022,65978046593,73132612272,243953.46,Pakistani rupee,Indian rupee,Albania,India,ACH
230,07:31:32,30-12-2022,76884738328,10191188585,68439.98,UK pounds,Naira,Turkey,Switzerland,Cross-border
231,07:01:11,12-07-2022,67071154164,34015276882,447573.99,Euro,Euro,Japan,Austria,ACH
232,05:38:04,16-01-2022,45906447194,98843078008,377883.06,Turkish lira,Turkish lira,Albania,Albania,Cash Withdrawal
233,02:33:57,12-12-2022,60948638941,79479564252,131340.59,Euro,UK pounds,Japan,Nigeria,Cross-border
234,06:06:51,06-07-2022,47595536533,67468479804,439381.92,Mexican Peso,Pakistani rupee,Germany,Germany,ACH
235,13:10:42,06-10-2022,90013632735,52496287857,333878.39,US dollar,Mexican Peso,Spain,India,Cross-border
236,05:09:45,14-07-2022,43889621150,21364216353,108539.02,Indian rupee,Naira,Pakistan,Nigeria,Cross-border
237,19:44:39,17-09-2022,59792441211,75656366377,350236.63,Yen,Swiss franc,Nigeria,Nigeria,ACH
238,23:30:46,10-06-2022,38773794021,11145266798,444429.42,US dollar,Yen,Netherlands,Morocco,Credit card
239,13:44:42,14-08-2022,9758311638,44874029108,9580.79,Indian rupee,Pakistani rupee,Austria,Mexico,ACH
240,00:48:59,20-05-2022,85081531953,671390852,321570.19,Mexican Peso,Pakistani rupee,Pakistan,Japan,Credit card
241,14:43:26,27-04-2022,29188206537,66862336789,471691.06,Pakistani rupee,Naira,USA,Turkey,Credit card
242,01:47:06,04-09-2022,1716450289,67975389624,180034.62,Moroccan dirham,UK pounds,Austria,Switzerland,Credit card
243,19:46:14,23-03-2022,85034397610,51417187721,231123.07,Yen,US dollar,Italy,Pakistan,Cross-border
244,17:13:36,23-09-2022,76989755580,63211920469,464886.2,Swiss franc,Euro,Spain,Mexico,Credit card
